Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Vivo V40 Pro 5G AI Smartphone (Ganges Blue, 8GB RAM+ 256GB Storage)",4.1,28,200+ bought in past month,45965.0,₹54999,(16% off),No,Vivo,Vivo V40 Pro 5G AI Smartphone ,Blue,8GB,256GB,200,54999,16.0
"vivo Y28s 5G (Twinkling Purple, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",3.7,74,100+ bought in past month,13499.0,₹17999,(25% off),No,Unknown,,Black,4GB,128GB,100,17999,25.0
"Vivo Y27 (Garden Green, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.0,953,0,10999.0,₹18999,(42% off),No,Vivo,Vivo Y27 ,Green,6GB,128GB,0,18999,42.0
"Vivo V29 Pro 5G - 8GB RAM, 256GB Storage, 4600mAh Battery - Amoled Display, Dual Camera - 1-Year Warranty - No Charger/Data Cable (Black)",4.0,1,0,33249.0,₹44999,(26% off),No,Vivo,"Vivo V29 Pro 5G - 8GB RAM, 256GB Storage, 4600mAh Battery - Amoled Display, Dual Camera - 1-Year Warranty - No Charger/Data Cable ",Black,8GB,256GB,0,44999,26.0
"vivo Y18e (Space Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.9,153,100+ bought in past month,7999.0,₹11999,(33% off),No,Unknown,,Black,4GB,64GB,100,11999,33.0
"vivo Y28s 5G(Twinkling Purple, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",3.7,74,100+ bought in past month,16499.0,₹21999,(25% off),No,Unknown,,Black,8GB,128GB,100,21999,25.0
"Vivo V40 5G Smartphone (Titanium Grey, 8GB RAM, 256GB Storage)",4.1,24,100+ bought in past month,34781.0,₹42999,(19% off),No,Vivo,Vivo V40 5G Smartphone ,Black,8GB,256GB,100,42999,19.0
"vivo Y18e (Gem Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.9,153,100+ bought in past month,7999.0,₹11999,(33% off),No,Unknown,,Green,4GB,64GB,100,11999,33.0
"vivo Y18 (Space Black, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.8,37,0,9499.0,₹13999,(32% off),No,Unknown,,Black,4GB,128GB,0,13999,32.0
"Vivo V29 Pro 5G - 8GB RAM, 256GB Storage, 4600mAh Battery - Amoled Display, Dual Camera - 1-Year Warranty - No Charger/Data Cable (Blue)",4.0,1,0,31600.0,₹39999,(21% off),No,Vivo,"Vivo V29 Pro 5G - 8GB RAM, 256GB Storage, 4600mAh Battery - Amoled Display, Dual Camera - 1-Year Warranty - No Charger/Data Cable ",Blue,8GB,256GB,0,39999,21.0
"vivo Y200 Pro 5G (Silk Green, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers | 3D Curved AMOLED Display",3.8,40,0,24999.0,₹29999,(17% off),No,Unknown,,Green,8GB,128GB,0,29999,17.0
