Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)",4.1,"1,437",5K+ bought in past month,17999,₹20999,(14% off),Yes,OnePlus,OnePlus Nord CE4 Lite 5G ,Silver,8GB,128GB,5000,20999,14.0
"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)",4.1,"5,268",5K+ bought in past month,16999,₹26999,(37% off),Yes,OnePlus,OnePlus Nord CE 3 5G ,Black,8GB,128GB,5000,26999,37.0
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)",4.2,"21,342",4K+ bought in past month,15657,₹19999,(22% off),Yes,OnePlus,OnePlus Nord CE 3 Lite 5G ,Gray,8GB,128GB,4000,19999,22.0
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 128GB Storage)",4.2,"1,258",5K+ bought in past month,22999,₹24999,(8% off),Yes,Unknown,,Black,8GB,128GB,5000,24999,8.0
"OnePlus 11R 5G (Galactic Silver, 8GB RAM, 128GB Storage)",4.3,"5,555",4K+ bought in past month,28999,₹39999,(28% off),Yes,OnePlus,OnePlus 11R 5G ,Silver,8GB,128GB,4000,39999,28.0
"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage)",4.2,408,2K+ bought in past month,29999,₹32999,(9% off),Yes,OnePlus,OnePlus Nord 4 5G ,Green,8GB,256GB,2000,32999,9.0
"OnePlus 12R (Sunset Dune, 8GB RAM, 256GB Storage)",4.3,228,2K+ bought in past month,38999,₹42999,(9% off),Yes,OnePlus,OnePlus 12R ,Black,8GB,256GB,2000,42999,9.0
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",4.2,"22,285",2K+ bought in past month,15640,₹19999,(22% off),Yes,OnePlus,OnePlus Nord CE 3 Lite 5G ,Black,8GB,128GB,2000,19999,22.0
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",4.3,"1,184",2K+ bought in past month,40999,₹45999,(11% off),Yes,OnePlus,OnePlus 12R ,Gray,16GB,256GB,2000,45999,11.0
"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 128GB Storage)",4.2,335,4K+ bought in past month,17999,₹20999,(14% off),Yes,OnePlus,OnePlus Nord CE4 Lite 5G ,Black,8GB,128GB,4000,20999,14.0
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 256GB Storage)",4.2,"1,693",5K+ bought in past month,24999,₹26999,(7% off),Yes,Unknown,,Black,8GB,256GB,5000,26999,7.0
"OnePlus Nord 4 5G (Obsidian Midnight, 8GB RAM, 256GB Storage)",4.2,251,1K+ bought in past month,29999,₹32999,(9% off),Yes,OnePlus,OnePlus Nord 4 5G ,Black,8GB,256GB,1000,32999,9.0
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)",4.1,712,5K+ bought in past month,17999,₹20999,(14% off),Yes,OnePlus,OnePlus Nord CE4 Lite 5G ,Blue,8GB,128GB,5000,20999,14.0
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)",4.2,"1,301",4K+ bought in past month,24999,₹26999,(7% off),Yes,Unknown,,Black,8GB,256GB,4000,26999,7.0
"OnePlus 12 (Flowy Emerald, 16GB RAM, 512GB Storage)",4.4,848,500+ bought in past month,66999,₹69999,(4% off),Yes,OnePlus,OnePlus 12 ,Black,16GB,512GB,500,69999,4.0
